Sr. No.,Place,State in India/Country,Body part or ornament,Shakti,Bhairava,Location,Latitude,Longitude
53,"Tara Tarini, Purushottampur, Ganjam",Odisha,Breast,Tara Tarini Devi,Tumbeshwar,"Ganjam, Odisha, India",19.2415887,84.5215237
54,"Nalhateswari, Nalhati",West Bengal,Stomach/Nauli,Kalika Devi,Jogeshwar,"Birbhum, West Bengal, India ",24.2966075,87.835306
55,"Vimala Temple, Inside Jagannath Temple, Puri",Odisha,Foot,Vimala Devi,Jagannatheshwar,"Puri, Odisha, India",19.8343066,85.6853295
56,"Shankari Maha Shaktipeeth, originally located in an unknown place in Lanka. This peetha is now associated by some with the city of Tricomalee.",Sri Lanka,Groin,Shankari Devi,Trikoneshwar,"Trincomalee, Eastern Province, Srilanka",8.6286105,81.2007375
57,"Shri Mahalakshmi Griva Peeth, Shri Shail (also known as Mahalakshmi Griva pitha)","Gotatikar, Kalagul tea state, Dakshin Surma Upazila, Sylhet, Bangladesh",Neck,Mahalakshmi,Sambaranandeshwar,"Joinpur, Bangladesh",24.932011,88.795077
58,"Dhakeshwari Temple (now relocated at Dhakeswari Mata Temple) During the 1947 partition, Hindu temples were attacked and vandalised in Bangladesh (then East Pakistan) and West Pakistan, so the temple priest secretly bought the main idol of Dhakeshwari to Kolkata, West Bengal in India to a wealthy Bengali Hindu family and established a temple in Kumartoli. Now the descendants of the priest worship the idol in Kumartoli.","Dhaka, Bangladesh Currently in Kumartoli Kolkata, West Bengal",Gem of Sati's Crown,Dhakeshwari (a form of Katyayini Mahishasurmardini Durga),Shiva,"Kumartoli, Kolkata, West Bengal, India",22.600002,88.361268�
59,Tarapith Rampurhat,West Bengal,Third eye,Maa Tara (second mahavidya) (main form of Parvati),Chandrachuda Bhairava,"Birbhum, West Bengal, India",24.1763069,87.7859569
60,"Chhinnamastika Shakta pitha at Chintpurni, Chintpurni of Himachal Pradesh",Himachal Pradesh,Foot,Chhinnamastika Devi,Rudra Mahadeva,"Una, Himachal Pradesh, India",31.8025756,76.1046491
61,Kaali Mandir at Pavagarh hill in Panchmahal district with in Champaner Pavagadh Archaeological Park.,Gujarat,Right leg toe,Mahakali Devi,Batuka Bhairava,"Pavagadh Hill, Panchmahal, Gujarat, India",22.46378,73.515694
62,Aranya Devi Mandir at Badi Devisthan Shish Mahal Chowk in Arrah.,Bihar,Right thigh,Aranyani,Bhuma Bhairava,"Bhojpur, Bihar, India",25.560317,84.6632139
63,"Tuljabhavani Temple at Tuljapur, Dharashiv district",Maharashtra,,Tuljabhavani Devi,Bhairava,"Dharashiv, Maharashtra, India",18.0086617,76.0707924
64,"Mata Vaishno Devi Temple in Katra, Jammu",Jammu and Kashmir,Skull/Right arm,Vaishno Devi,Bhairava Baba,"Reasi, Jammu and Kashmir, India",32.9924858,74.9318127
65,"त्रिपुर सुंदरी मंदिर, बांसवाड़ा Maa Tripura Sundari Temple, Vagad Shaktipith Banswara Rajasthan Kuldevi of Panchal Community.",Rajasthan,,Goddess Tripura Sundari as Rajarajeshwari तरताई माता महालक्षमी महासरस्वती महादुर्गा जगतम्बा ।,Aanand Bhairava,"Gomati, Tripura, India",23.5416162,91.4917593
66,Jnanakshi Rajarajeshwari Temple,"Bengaluru, Karnataka",Ear (Karnabhaga),Goddess Tripura Sundari as Rajarajeshwari,Abiru Bhairava,"Bengaluru, Karnataka, India ",12.9481954,77.4944019
